CurrentDateTime,RSSI,RSRP,RSRQ,RSSNR,CQI,TA,Level,ANDRO_ID,Bitrate (DataSource),Bitrate (Mpd),Resolution (Displayed),Resolution (Mpd),Rebuffering (Last),Segment Size,State Current
2024-02-14T15:36:59.406,-101,-100,-13,-20,7,2147483647,1,c213b90a14211698,0,0,null,null,0,0.0,STATE_BUFFERING
2024-02-14T15:37:00.406,-103,-103,-12,-20,7,2147483647,1,c213b90a14211698,3200,1801,736x414,736x414,962,2.0,STATE_READY
2024-02-14T15:37:01.407,-105,-105,-12,-20,7,2147483647,1,c213b90a14211698,5203,1801,736x414,736x414,962,2.0,STATE_READY
2024-02-14T15:37:02.406,-105,-105,-12,-20,7,2147483647,1,c213b90a14211698,9474,1801,736x414,736x414,962,2.0,STATE_READY
2024-02-14T15:37:03.407,-105,-105,-12,-20,7,2147483647,1,c213b90a14211698,7921,1801,736x414,736x414,962,2.0,STATE_READY
2024-02-14T15:37:04.406,-103,-103,-12,-20,7,2147483647,1,c213b90a14211698,7921,1801,736x414,736x414,962,2.0,STATE_READY
2024-02-14T15:37:05.406,-103,-103,-12,-20,7,2147483647,1,c213b90a14211698,6364,1801,736x414,736x414,962,2.0,STATE_READY
2024-02-14T15:37:06.406,-99,-99,-12,-20,7,2147483647,1,c213b90a14211698,6349,4375,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:07.408,-99,-99,-12,-20,7,2147483647,1,c213b90a14211698,6364,4375,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:08.407,-97,-97,-11,-20,7,2147483647,1,c213b90a14211698,6702,4375,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:09.407,-97,-97,-11,-20,7,2147483647,1,c213b90a14211698,7189,4375,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:10.407,-97,-97,-11,-20,7,2147483647,1,c213b90a14211698,7614,4375,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:11.406,-95,-95,-11,-20,7,2147483647,1,c213b90a14211698,7614,4375,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:12.408,-95,-95,-11,-20,7,2147483647,1,c213b90a14211698,7110,4375,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:13.407,-95,-95,-11,-20,7,2147483647,1,c213b90a14211698,5950,3918,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:14.406,-95,-95,-11,-20,7,2147483647,1,c213b90a14211698,5950,3918,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:15.406,-95,-95,-11,-20,7,2147483647,1,c213b90a14211698,5950,3918,736x414,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:16.406,-95,-95,-11,-20,7,2147483647,1,c213b90a14211698,8274,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:17.407,-95,-95,-11,-20,7,2147483647,1,c213b90a14211698,7617,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:18.407,-95,-95,-11,-20,7,2147483647,1,c213b90a14211698,7617,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:19.406,-97,-97,-12,-20,7,2147483647,1,c213b90a14211698,6693,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:20.406,-99,-99,-13,-20,7,2147483647,1,c213b90a14211698,6693,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:21.406,-99,-99,-13,-20,7,2147483647,1,c213b90a14211698,8047,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:22.407,-99,-99,-13,-20,7,2147483647,1,c213b90a14211698,7250,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:23.406,-99,-99,-13,-20,7,2147483647,1,c213b90a14211698,7250,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:24.407,-99,-99,-13,-20,7,2147483647,1,c213b90a14211698,6913,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:25.407,-97,-97,-13,-20,7,2147483647,1,c213b90a14211698,6913,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:26.407,-97,-97,-13,-20,7,2147483647,1,c213b90a14211698,6556,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:27.407,-97,-97,-13,-20,7,2147483647,1,c213b90a14211698,6556,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:28.407,-95,-95,-12,-20,7,2147483647,1,c213b90a14211698,7526,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:29.407,-95,-95,-12,-20,7,2147483647,1,c213b90a14211698,7526,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:30.407,-95,-95,-12,-20,7,2147483647,1,c213b90a14211698,7028,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:31.406,-95,-95,-12,-20,7,2147483647,1,c213b90a14211698,6758,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:32.407,-95,-95,-12,-20,7,2147483647,1,c213b90a14211698,6758,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:37:33.406,-95,-95,-12,-20,7,2147483647,1,c213b90a14211698,7871,4375,1920x1080,1920x1080,962,2.0,STATE_READY
